Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.002575;416528;0.003271;390594;0.025445;2192342;48
8;100;0.012028;2179854;0.002637;332911;0.080476;8522597;48
8;100;0.002806;403997;0.003989;459766;0.088631;8573261;48
8;100;0.011655;2165534;0.001903;1263229;0.046149;6007065;48
8;100;0.002875;404344;0.002752;335453;0.040016;4761427;48
8;100;0.001793;279771;0.003149;399567;0.002404;459987;48
8;100;0.003738;503903;0.002516;335682;0.002731;340219;48
8;100;0.002563;330772;0.002467;317719;0.104504;11380254;48
8;100;0.00253;327199;0.011267;1493014;0.002406;462168;48
8;100;0.007046;941256;0.001891;274213;0.081833;6484702;48
8;1000;0.003125;404912;0.002577;317227;0.074212;6699506;48
8;1000;0.003169;432832;0.002447;381435;0.115987;9903308;48
8;1000;0.002864;346004;0.00221;366993;0.126035;10968987;48
8;1000;0.002524;342900;0.002311;336191;0.060087;5317815;48
8;1000;0.002499;343204;0.002105;267430;0.078774;6502201;48
8;1000;0.002171;280938;0.006988;932573;0.083898;6628991;48
8;1000;0.002786;398318;0.014122;1894579;0.010207;1035839;48
8;1000;0.00229;338192;0.001893;273378;0.042883;3451250;48
8;1000;0.002515;323735;0.002731;329982;0.104658;8593245;48
8;1000;0.002828;343487;0.007876;1017261;0.060827;4888120;48
8;10000;0.002569;347084;0.002476;311297;0.09982;9076446;48
8;10000;0.007505;1003571;0.002182;313470;0.010541;1030066;48
8;10000;0.002521;345832;0.002468;334598;0.060035;5309859;48
8;10000;0.002549;344165;0.002062;257685;0.043261;3767406;48
8;10000;0.002531;336943;0.002582;306810;0.108372;9326239;48
8;10000;0.002321;328135;0.002725;326551;0.039561;3287586;48
8;10000;0.002124;263327;0.007682;1013827;0.020174;1674918;48
8;10000;0.002842;344823;0.009076;1233853;0.118979;9537265;48
8;10000;0.002175;273747;0.008992;1131686;0.010132;1016391;48
8;10000;0.002541;344992;0.002507;327300;0.061497;5367508;48
8;100000;0.004258;450293;0.004464;398526;0.126263;11885758;48
8;100000;0.004096;379226;0.007877;918056;0.05317;4078535;48
8;100000;0.004335;551135;0.003792;346605;0.067488;5702142;48
8;100000;0.004091;406294;0.003809;322123;0.10275;8263263;48
8;100000;0.004333;486934;0.003834;329473;0.013925;1375621;48
8;100000;0.00426;463257;0.004465;413045;0.021732;1672078;48
8;100000;0.004294;553384;0.003709;321236;0.020746;1636222;48
8;100000;0.004294;478849;0.003779;410645;0.041326;3285867;48
8;100000;0.004649;488390;0.003956;500182;0.007112;871019;48
8;100000;0.004279;452555;0.003435;282381;0.007462;876306;48
8;1000000;0.026305;1982637;0.026909;1703049;0.072597;5596624;48
8;1000000;0.024726;1638927;0.028359;1923415;0.067724;5981400;48
8;1000000;0.0264;2027331;0.030716;2173841;0.082779;6965414;48
8;1000000;0.025593;1880654;0.024895;1701476;0.073776;5179447;48
8;1000000;0.025195;1938416;0.02844;1765628;0.065982;5820627;48
8;1000000;0.02808;2040350;0.027243;1690326;0.057736;4399624;48
8;1000000;0.026981;1967230;0.026686;1725332;0.066906;5789352;48
8;1000000;0.025457;1839063;0.026646;1930901;0.075191;7058391;48
8;1000000;0.025972;1859980;0.026948;1526018;0.100291;7385312;48
8;1000000;0.025344;1746072;0.026833;1865095;0.080807;6230513;48
8;10000000;0.268533;55811198;0.264789;20957347;0.393778;32341575;48
8;10000000;0.262116;20972208;0.274153;22644464;0.395209;31912137;48
8;10000000;0.262406;20688055;0.259165;20733326;0.376872;29478911;48
8;10000000;0.270368;20605075;0.255517;20146277;0.396297;33932827;48
8;10000000;0.27127;20593786;0.261154;20528577;0.391011;31031683;48
8;10000000;0.261743;20711219;0.257985;19790310;0.397208;32526424;48
8;10000000;0.267787;21649657;0.259146;20934385;0.392274;32137814;48
8;10000000;0.259824;19295635;0.259347;20886994;0.406055;33949773;48
8;10000000;0.270534;21829519;0.257871;20301321;0.388174;35497821;48
8;10000000;0.273396;23635455;0.256674;20303079;0.400362;34808345;48
8;100000000;2.96759;275848938;3.00171;246609763;3.64425;312531498;48
8;100000000;2.96265;238612176;3.00731;247077413;3.53342;300521600;48
8;100000000;2.97646;242109113;2.98181;241198488;3.74099;330556421;48
8;100000000;2.98105;240507820;2.99953;244591959;3.4506;288276149;48
8;100000000;3.05307;245476472;2.97871;242253593;3.3165;292062192;48
8;100000000;2.98076;255349363;3.00138;247330818;3.19605;272530369;48
8;100000000;3.00959;243513798;2.98076;242589459;3.36682;285273823;48
8;100000000;2.95704;236680716;2.98493;243957531;3.56544;307983834;48
8;100000000;2.96069;238580366;3.0798;253786719;3.43211;293289946;48
8;100000000;2.97468;239513786;2.98476;245336267;3.2798;282385802;48
