Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.003315;0.092546;48
8;100;0.001141;0.069538;48
8;100;0.007073;0.048383;48
8;100;0.003359;0.068525;48
8;100;0.009243;0.112646;48
8;100;0.007539;0.091563;48
8;100;0.006969;0.081536;48
8;100;0.001917;0.039424;48
8;100;0.003283;0.094658;48
8;100;0.008269;0.084995;48
8;1000;0.001189;0.061152;48
8;1000;0.001274;0.103734;48
8;1000;0.005804;0.105174;48
8;1000;0.005411;0.092345;48
8;1000;0.00329;0.118098;48
8;1000;0.002967;0.072914;48
8;1000;0.00135;0.080114;48
8;1000;0.001889;0.069057;48
8;1000;0.006162;0.062635;48
8;1000;0.00932;0.118894;48
8;10000;0.002009;0.091108;48
8;10000;0.001302;0.075003;48
8;10000;0.003442;0.050008;48
8;10000;0.005164;0.11324;48
8;10000;0.003287;0.050056;48
8;10000;0.001217;0.054613;48
8;10000;0.003287;0.020263;48
8;10000;0.003277;0.037312;48
8;10000;0.013059;0.054366;48
8;10000;0.001348;0.094339;48
8;100000;0.004448;0.083088;48
8;100000;0.003425;0.104606;48
8;100000;0.003476;0.054318;48
8;100000;0.003429;0.021146;48
8;100000;0.007604;0.061142;48
8;100000;0.011477;0.090281;48
8;100000;0.009441;0.059002;48
8;100000;0.00726;0.058551;48
8;100000;0.0034;0.018721;48
8;100000;0.003408;0.033021;48
8;1000000;0.035234;0.097711;48
8;1000000;0.027539;0.077831;48
8;1000000;0.027556;0.078193;48
8;1000000;0.032094;0.075695;48
8;1000000;0.031069;0.085021;48
8;1000000;0.028422;0.045995;48
8;1000000;0.033612;0.088045;48
8;1000000;0.032394;0.08467;48
8;1000000;0.027552;0.082102;48
8;1000000;0.032953;0.132993;48
8;10000000;0.293971;0.384471;48
8;10000000;0.281833;0.357302;48
8;10000000;0.273474;0.3903;48
8;10000000;0.287715;0.422882;48
8;10000000;0.282908;0.378465;48
8;10000000;0.292578;0.399346;48
8;10000000;0.28883;0.374274;48
8;10000000;0.289014;0.382006;48
8;10000000;0.292249;0.384124;48
8;10000000;0.298899;0.371943;48
8;100000000;2.97838;3.32262;48
8;100000000;2.98015;3.35582;48
8;100000000;3.0042;3.15292;48
8;100000000;3.02239;3.16561;48
8;100000000;2.9751;3.41013;48
8;100000000;2.98868;3.18606;48
8;100000000;2.99216;3.19977;48
8;100000000;2.99186;3.3237;48
8;100000000;2.96483;3.23331;48
8;100000000;3.02795;3.44529;48
