Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001935;0.100105;24
8;100;0.000912;0.001747;24
8;100;0.001366;0.001746;24
8;100;0.001362;0.00174;24
8;100;0.001825;0.056933;24
8;100;0.001357;0.052153;24
8;100;0.000731;0.118965;24
8;100;0.009543;0.029602;24
8;100;0.002988;0.061257;24
8;100;0.001841;0.027298;24
8;1000;0.000731;0.110563;24
8;1000;0.000836;0.099523;24
8;1000;0.002171;0.129335;24
8;1000;0.009155;0.029766;24
8;1000;0.000894;0.088672;24
8;1000;0.001073;0.001748;24
8;1000;0.002051;0.00177;24
8;1000;0.000912;0.001751;24
8;1000;0.002256;0.001744;24
8;1000;0.000837;0.055137;24
8;10000;0.004457;0.102829;24
8;10000;0.005964;0.002172;24
8;10000;0.006738;0.050121;24
8;10000;0.009209;0.002187;24
8;10000;0.001089;0.002194;24
8;10000;0.001449;0.00219;24
8;10000;0.002301;0.0022;24
8;10000;0.005645;0.043446;24
8;10000;0.003532;0.02862;24
8;10000;0.002918;0.042156;24
8;100000;0.005095;0.029137;24
8;100000;0.017514;0.097283;24
8;100000;0.021988;0.041798;24
8;100000;0.003378;0.101002;24
8;100000;0.008477;0.037955;24
8;100000;0.003567;0.119485;24
8;100000;0.003102;0.039163;24
8;100000;0.013555;0.089225;24
8;100000;0.018904;0.035355;24
8;100000;0.015716;0.040791;24
8;1000000;0.034462;0.093058;24
8;1000000;0.02714;0.044062;24
8;1000000;0.036142;0.07538;24
8;1000000;0.041051;0.048169;24
8;1000000;0.032293;0.095408;24
8;1000000;0.033038;0.060116;24
8;1000000;0.03195;0.067518;24
8;1000000;0.032085;0.11336;24
8;1000000;0.033287;0.068862;24
8;1000000;0.041398;0.041399;24
8;10000000;0.284104;0.421335;24
8;10000000;0.294196;0.367731;24
8;10000000;0.295002;0.375402;24
8;10000000;0.280368;0.444077;24
8;10000000;0.318647;0.378873;24
8;10000000;0.293485;0.422524;24
8;10000000;0.314777;0.429185;24
8;10000000;0.300709;0.454909;24
8;10000000;0.301797;0.438447;24
8;10000000;0.297983;0.4032;24
8;100000000;3.10047;3.76749;24
8;100000000;3.17284;3.52353;24
8;100000000;3.22034;3.52154;24
8;100000000;3.28043;3.50765;24
8;100000000;3.16271;3.55141;24
8;100000000;3.24511;3.37741;24
8;100000000;3.08324;3.27835;24
8;100000000;3.21168;3.82864;24
8;100000000;3.1444;3.74146;24
8;100000000;3.19471;3.60296;24
