Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.002313;404374;0.002428;397874;0.062881;4751989;48
8;100;0.003201;473152;0.00274;384572;0.085034;6868001;48
8;100;0.001913;352291;0.002803;459363;0.117017;9608840;48
8;100;0.002552;408229;0.003685;526178;0.115011;10716736;48
8;100;0.002677;392313;0.00277;459916;0.127239;11174134;48
8;100;0.00219;335848;0.002002;418357;0.060775;5092635;48
8;100;0.002761;472045;0.002729;383601;0.065824;5295557;48
8;100;0.003278;473821;0.001886;337602;0.125144;9804974;48
8;100;0.00945;1217386;0.002668;387116;0.044398;3604334;48
8;100;0.003073;472665;0.00247;390998;0.056543;4588037;48
8;1000;0.002435;407529;0.0018;343457;0.082817;6528119;48
8;1000;0.002208;392437;0.002707;383984;0.086899;10021652;48
8;1000;0.00249;406039;0.002733;372750;0.010817;1073389;48
8;1000;0.002928;475601;0.002775;460288;0.118015;10922837;48
8;1000;0.002369;411298;0.002473;398999;0.061139;5046041;48
8;1000;0.002531;414015;0.003189;463430;0.076483;6179348;48
8;1000;0.002446;411193;0.002363;362796;0.022963;2193642;48
8;1000;0.002596;408559;0.002945;455695;0.014839;1293160;48
8;1000;0.00248;406977;0.002419;401570;0.016713;1431251;48
8;1000;0.003445;536850;0.002172;398614;0.015939;1534341;48
8;10000;0.002209;330263;0.002733;383909;0.020388;1604645;48
8;10000;0.002537;407604;0.002145;317590;0.016407;1345518;48
8;10000;0.002205;325657;0.011075;1494599;0.070925;6391776;48
8;10000;0.003046;473801;0.00252;395548;0.016095;1261907;48
8;10000;0.002547;394603;0.002682;386618;0.04082;4557622;48
8;10000;0.002157;329004;0.002174;392114;0.002724;448812;48
8;10000;0.002527;391169;0.002727;386124;0.028876;2393950;48
8;10000;0.002545;411756;0.003141;448624;0.017317;1313998;48
8;10000;0.002166;332817;0.002428;398206;0.002734;450508;48
8;10000;0.002486;398038;0.00244;394298;0.022692;1510243;48
8;100000;0.00428;547775;0.003799;376297;0.013327;1311482;48
8;100000;0.004098;370214;0.003849;359805;0.016148;1569624;48
8;100000;0.004567;526068;0.003795;370704;0.027022;2305087;48
8;100000;0.005308;542636;0.004558;509530;0.023006;1960688;48
8;100000;0.003997;463586;0.003793;375349;0.016787;1641825;48
8;100000;0.00401;426087;0.005318;604290;0.019591;1797165;48
8;100000;0.003965;488401;0.005714;592756;0.021117;1853098;48
8;100000;0.004525;520686;0.006319;618719;0.02757;3035681;48
8;100000;0.004047;417056;0.003906;368817;0.014403;1499642;48
8;100000;0.004334;621045;0.003808;360744;0.011642;1967698;48
8;1000000;0.028202;2007329;0.026637;1785482;0.055237;4428764;48
8;1000000;0.026808;2113191;0.025398;1755372;0.046448;3986801;48
8;1000000;0.025619;1905455;0.02807;2089662;0.089077;6770369;48
8;1000000;0.025149;1755398;0.028536;2022802;0.092476;15307713;48
8;1000000;0.027017;2128339;0.026738;1859361;0.08679;6029283;48
8;1000000;0.026481;2000997;0.027386;1628105;0.136893;11228602;48
8;1000000;0.027036;2125641;0.027543;2251388;0.112323;9123793;48
8;1000000;0.025975;2018701;0.028781;1756969;0.123614;11083771;48
8;1000000;0.025053;1948157;0.029644;2360670;0.064703;6084116;48
8;1000000;0.026378;1790032;0.027181;1851539;0.084946;6229870;48
8;10000000;0.278174;22020767;0.258848;20899169;0.400653;32670351;48
8;10000000;0.266131;20347919;0.261016;21172840;0.376075;30444707;48
8;10000000;0.264558;21374890;0.258232;20625481;0.366923;30114140;48
8;10000000;0.262063;20089022;0.257022;20377339;0.385729;30521703;48
8;10000000;0.274451;21305826;0.259935;20918026;0.391786;30757898;48
8;10000000;0.266671;20746468;0.257723;20638864;0.386351;30880186;48
8;10000000;0.256371;19868479;0.272817;22052438;0.373756;29991517;48
8;10000000;0.267677;20273308;0.266902;20081412;0.386898;34712722;48
8;10000000;0.260479;20327333;0.256544;19438348;0.408157;33994996;48
8;10000000;0.261424;20794404;0.258707;20301342;0.385255;30511472;48
8;100000000;2.98753;234551123;2.99273;248144144;3.92032;349067296;48
8;100000000;2.96809;242789654;2.99277;244797954;3.23283;274253986;48
8;100000000;3.01365;238528379;2.96975;242468364;3.20719;269843207;48
8;100000000;2.98654;242619903;2.97713;242465737;3.47399;304989149;48
8;100000000;2.99727;233238746;2.9977;244561362;3.20703;283427217;48
8;100000000;2.9437;236023462;3.01106;245612261;3.24387;269701230;48
8;100000000;2.97767;243283799;3.01014;246145126;3.72625;320718632;48
8;100000000;2.98106;236268835;3.01456;245279361;3.46203;299950563;48
8;100000000;2.9713;240784469;2.99146;244148314;3.22724;286066374;48
8;100000000;3.01378;243402699;3.01612;247815239;3.51492;300139153;48
