Cores;Input.Size;Time;Loops.MALMS;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.001448;1728570;0.111796;9783192;48
8;100;0.001556;1670361;0.123058;10842500;48
8;100;0.001281;1716126;0.111796;9760191;48
8;100;0.010475;1786819;0.103053;9032590;48
8;100;0.001366;1725711;0.121805;10077906;48
8;100;0.001493;1678251;0.101798;8723578;48
8;100;0.001826;1755834;0.1218;10415948;48
8;100;0.001514;379982;0.121804;10629571;48
8;100;0.001319;2064645;0.111807;9124809;48
8;100;0.001817;1710618;0.102718;7704731;48
8;1000;0.001962;1739557;0.123055;12269402;48
8;1000;0.00146;1668007;0.113053;9753823;48
8;1000;0.001604;1694209;0.101804;8564512;48
8;1000;0.001619;2543123;0.111808;9634784;48
8;1000;0.001918;2532464;0.121804;10684378;48
8;1000;0.001188;1712142;0.132495;12399014;48
8;1000;0.00202;980601;0.113052;9891712;48
8;1000;0.001845;1689204;0.102432;10669125;48
8;1000;0.009978;2724616;0.151808;12830901;48
8;1000;0.001173;1731245;0.132733;13162304;48
8;10000;0.001521;1732469;0.133048;10673543;48
8;10000;0.001818;1667749;0.141803;10930939;48
8;10000;0.001573;2518703;0.111804;9818893;48
8;10000;0.001634;1006164;0.121802;9451372;48
8;10000;0.001532;2690357;0.103055;9569434;48
8;10000;0.010402;1834198;0.1118;10294255;48
8;10000;0.001555;993848;0.133677;9918205;48
8;10000;0.001716;1740339;0.103058;11011598;48
8;10000;0.001476;1768303;0.103053;9312385;48
8;10000;0.009336;1689971;0.113047;10973613;48
8;100000;0.011046;3434661;0.12181;9809200;48
8;100000;0.003634;2591346;0.111796;10219176;48
8;100000;0.003091;2302458;0.122438;12633594;48
8;100000;0.003035;2301966;0.131832;13179627;48
8;100000;0.003429;2325183;0.163055;13393526;48
8;100000;0.003655;1462202;0.103727;8624912;48
8;100000;0.003671;1001782;0.143186;12518424;48
8;100000;0.00337;2308038;0.112464;9132132;48
8;100000;0.003387;4851331;0.142544;11931777;48
8;100000;0.003273;3408138;0.133071;15207217;48
8;1000000;0.028395;12157972;0.205618;17313624;48
8;1000000;0.032452;16323786;0.175473;15598200;48
8;1000000;0.027931;13160250;0.156627;13816499;48
8;1000000;0.089263;17833810;0.176069;15368196;48
8;1000000;0.174416;19025972;0.181793;16111411;48
8;1000000;0.191027;17582212;0.153748;12857058;48
8;1000000;0.034293;5311332;0.157331;13846453;48
8;1000000;0.053666;4458473;0.206062;18035270;48
8;1000000;0.062787;4464359;0.152847;13355545;48
8;1000000;0.171487;16001560;0.173809;18255997;48
8;10000000;0.529145;59787231;0.524195;47278389;48
8;10000000;0.570103;57818702;0.566103;48808852;48
8;10000000;0.562207;61175863;0.506041;44474599;48
8;10000000;0.409708;40372904;0.605251;53106188;48
8;10000000;0.413131;34596789;0.636433;55457307;48
8;10000000;0.406637;39211016;0.474306;42955199;48
8;10000000;0.769598;65470191;0.517006;46706724;48
8;10000000;0.571081;61854230;0.576316;50700242;48
8;10000000;0.535498;60489506;0.536541;47610375;48
8;10000000;0.560077;60379514;0.465908;40079151;48
8;100000000;7.1595;623121803;4.41252;389285213;48
8;100000000;7.20047;682956296;4.35238;382790375;48
8;100000000;7.09699;683121712;4.16104;366870707;48
8;100000000;7.01689;685411229;4.10785;364724002;48
8;100000000;7.1348;689393490;4.36847;385030516;48
8;100000000;7.23532;688370376;4.12101;363211950;48
8;100000000;7.06585;687355251;4.10223;365725697;48
8;100000000;7.17955;685673214;4.18367;372058383;48
8;100000000;7.12906;681771451;4.13767;365880209;48
8;100000000;7.12641;687462632;4.16306;367253577;48
