Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.000883;0.054971;24
8;100;0.000941;0.102783;24
8;100;0.001746;0.098673;24
8;100;0.000687;0.024348;24
8;100;0.000843;0.092564;24
8;100;0.000804;0.118056;24
8;100;0.000763;0.051242;24
8;100;0.000713;0.083835;24
8;100;0.000881;0.093034;24
8;100;0.009378;0.014847;24
8;1000;0.000707;0.095282;24
8;1000;0.000773;0.088842;24
8;1000;0.000675;0.117221;24
8;1000;0.000651;0.015944;24
8;1000;0.001306;0.072276;24
8;1000;0.000776;0.10794;24
8;1000;0.000706;0.013803;24
8;1000;0.000821;0.111148;24
8;1000;0.000813;0.015905;24
8;1000;0.000792;0.098275;24
8;10000;0.0008;0.092589;24
8;10000;0.000772;0.062946;24
8;10000;0.000671;0.101244;24
8;10000;0.000712;0.095405;24
8;10000;0.007223;0.037032;24
8;10000;0.000735;0.106536;24
8;10000;0.000977;0.117911;24
8;10000;0.000782;0.016965;24
8;10000;0.000856;0.126849;24
8;10000;0.001944;0.013803;24
8;100000;0.003557;0.081397;24
8;100000;0.018466;0.108633;24
8;100000;0.002734;0.07453;24
8;100000;0.004945;0.039126;24
8;100000;0.002681;0.090479;24
8;100000;0.007643;0.095487;24
8;100000;0.004687;0.061604;24
8;100000;0.004752;0.106955;24
8;100000;0.004667;0.093243;24
8;100000;0.00375;0.093111;24
8;1000000;0.038084;0.162311;24
8;1000000;0.025453;0.071384;24
8;1000000;0.025369;0.092518;24
8;1000000;0.039518;0.060896;24
8;1000000;0.037252;0.101332;24
8;1000000;0.035494;0.103204;24
8;1000000;0.025355;0.133672;24
8;1000000;0.028762;0.071277;24
8;1000000;0.032602;0.120272;24
8;1000000;0.025971;0.088861;24
8;10000000;0.322711;0.390815;24
8;10000000;0.270284;0.439195;24
8;10000000;0.273228;0.422495;24
8;10000000;0.273549;0.40597;24
8;10000000;0.282211;0.422757;24
8;10000000;0.276355;0.419361;24
8;10000000;0.28362;0.426446;24
8;10000000;0.281502;0.402621;24
8;10000000;0.299594;0.401871;24
8;10000000;0.307708;0.397591;24
8;100000000;2.95275;3.07285;24
8;100000000;2.95906;3.12726;24
8;100000000;2.96314;3.26423;24
8;100000000;2.9643;3.12734;24
8;100000000;2.94061;3.39427;24
8;100000000;2.93548;3.22262;24
8;100000000;2.95792;3.19384;24
8;100000000;3.01572;3.15218;24
8;100000000;2.94389;3.40271;24
8;100000000;2.9467;3.47173;24
