Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001878;0.023349;48
8;100;0.00165;0.026534;48
8;100;0.001518;0.019323;48
8;100;0.009466;0.094157;48
8;100;0.001756;0.059185;48
8;100;0.002255;0.091044;48
8;100;0.010065;0.0815;48
8;100;0.009011;0.032909;48
8;100;0.001577;0.11976;48
8;100;0.002125;0.12943;48
8;1000;0.001489;0.07418;48
8;1000;0.002178;0.009138;48
8;1000;0.002134;0.009123;48
8;1000;0.001719;0.081209;48
8;1000;0.004057;0.018504;48
8;1000;0.001916;0.019948;48
8;1000;0.001691;0.069676;48
8;1000;0.001535;0.024808;48
8;1000;0.005404;0.080644;48
8;1000;0.00136;0.04186;48
8;10000;0.014072;0.031555;48
8;10000;0.008373;0.037956;48
8;10000;0.005755;0.058471;48
8;10000;0.001613;0.103361;48
8;10000;0.001929;0.117821;48
8;10000;0.001728;0.041696;48
8;10000;0.001934;0.106192;48
8;10000;0.009209;0.112133;48
8;10000;0.008985;0.093897;48
8;10000;0.001739;0.08914;48
8;100000;0.006504;0.06832;48
8;100000;0.011261;0.13016;48
8;100000;0.00798;0.091987;48
8;100000;0.003959;0.085155;48
8;100000;0.004132;0.038109;48
8;100000;0.003581;0.092564;48
8;100000;0.003199;0.085704;48
8;100000;0.003258;0.05031;48
8;100000;0.003444;0.132734;48
8;100000;0.003413;0.062554;48
8;1000000;0.028529;0.044647;48
8;1000000;0.03515;0.11626;48
8;1000000;0.032348;0.101106;48
8;1000000;0.034713;0.106604;48
8;1000000;0.029153;0.132025;48
8;1000000;0.028602;0.152032;48
8;1000000;0.027135;0.099257;48
8;1000000;0.027918;0.112822;48
8;1000000;0.026419;0.085633;48
8;1000000;0.027705;0.067487;48
8;10000000;0.290031;0.417239;48
8;10000000;0.289505;0.411518;48
8;10000000;0.287685;0.466705;48
8;10000000;0.299192;0.402589;48
8;10000000;0.283611;0.42884;48
8;10000000;0.312933;0.437124;48
8;10000000;0.298667;0.378622;48
8;10000000;0.299996;0.434985;48
8;10000000;0.286564;0.430255;48
8;10000000;0.3093;0.430756;48
8;100000000;2.99444;3.88714;48
8;100000000;3.0061;3.21541;48
8;100000000;2.99912;3.40807;48
8;100000000;3.0104;3.4945;48
8;100000000;2.99476;3.56515;48
8;100000000;2.99533;3.98603;48
8;100000000;3.02829;3.57343;48
8;100000000;2.98807;3.81572;48
8;100000000;3.06662;3.9104;48
8;100000000;2.98685;3.32459;48
