Cores;Input.Size;Time.Sorting;Time.Splitting;Time.Merging;Time.MALMS;Workpakets
8;100;0.00022;0.000126;0.000139;0.001189;8
8;100;0.00015;0.000106;0.000142;0.001113;8
8;100;0.000139;0.000114;0.000143;0.001091;8
8;100;0.000174;8.9e-05;0.000124;0.00104;8
8;100;0.000128;0.000104;0.000132;0.001049;8
8;100;0.000176;9.3e-05;0.000123;0.001054;8
8;100;0.000151;8.5e-05;0.000136;0.001037;8
8;100;0.000138;9.4e-05;0.00013;0.001016;8
8;100;0.000168;0.000101;0.000119;0.00104;8
8;100;0.000157;0.000135;0.000129;0.001062;8
8;100;0.000153;0.0001;0.000129;0.001052;8
8;100;0.00015;0.0001;0.000152;0.001066;8
8;100;0.000207;0.000103;0.000118;0.001089;8
8;100;0.00017;0.000112;9.5e-05;0.001;8
8;100;0.000164;9.1e-05;0.000141;0.001037;8
8;100;0.000175;0.00014;0.000106;0.001093;8
8;100;0.000165;0.000107;0.000143;0.001075;8
8;100;0.000201;0.000123;0.000151;0.001104;8
8;100;0.000155;9e-05;0.000134;0.001021;8
8;100;0.000149;0.000104;0.000142;0.001026;8
8;100;0.00017;9.2e-05;0.000132;0.001057;8
8;100;0.000171;0.000118;0.000126;0.001044;8
8;100;0.000142;8e-05;0.000102;0.000951;8
8;100;0.000179;8.7e-05;0.000147;0.001091;8
8;100;0.000165;8.9e-05;0.000148;0.001045;8
8;100;0.00017;9.7e-05;0.000103;0.001002;8
8;100;0.000111;0.000173;0.000124;0.001099;8
8;100;0.000125;8.6e-05;0.000138;0.001004;8
8;100;0.000159;9.6e-05;0.00012;0.00103;8
8;100;0.000147;0.000111;0.000124;0.001022;8
8;100;0.000135;0.000105;0.00014;0.001007;8
8;100;0.000158;9.6e-05;0.00011;0.001002;8
8;100;0.000195;0.000123;0.000129;0.00112;8
8;100;0.000128;0.000107;0.000134;0.001057;8
8;100;0.00014;0.000113;9.6e-05;0.000989;8
8;100;0.000154;0.000103;0.000133;0.001023;8
8;100;0.000163;0.000121;0.000111;0.001072;8
8;100;0.00013;0.000114;8e-05;0.001006;8
8;100;0.000182;0.000106;0.000114;0.001031;8
8;100;0.000176;0.000113;0.000165;0.001113;8
8;100;0.000166;0.000111;0.000102;0.001042;8
8;100;0.00014;0.000125;0.000124;0.001014;8
8;100;0.000168;8.8e-05;0.000123;0.00102;8
8;100;0.000184;9.6e-05;0.000127;0.001037;8
8;100;0.000169;9.7e-05;0.000137;0.001026;8
8;100;0.000145;0.000102;0.00015;0.001037;8
8;100;0.00016;8.5e-05;0.000122;0.001033;8
8;100;0.000143;0.000105;0.000115;0.001;8
8;100;0.000181;0.000109;0.000124;0.001042;8
8;100;0.000155;7.9e-05;0.000102;0.000993;8
8;100;0.000331;0.00021;0.000228;0.001401;16
8;100;0.000273;0.00014;0.000233;0.001282;16
8;100;0.000309;0.000261;0.000236;0.00144;16
8;100;0.000306;0.000215;0.000248;0.00139;16
8;100;0.0003;0.00024;0.000152;0.001333;16
8;100;0.000326;0.000167;0.000202;0.001321;16
8;100;0.000214;0.000225;0.000252;0.001364;16
8;100;0.000265;0.000165;0.00024;0.00134;16
8;100;0.000294;0.000253;0.000192;0.001406;16
8;100;0.000301;0.00018;0.000155;0.001308;16
8;100;0.0003;0.00017;0.000277;0.001378;16
8;100;0.00026;0.000177;0.000195;0.001275;16
8;100;0.000294;0.000255;0.000192;0.001373;16
8;100;0.000245;0.00024;0.000203;0.001327;16
8;100;0.00029;0.000203;0.000266;0.001449;16
8;100;0.000257;0.000174;0.000234;0.001313;16
8;100;0.000287;0.000238;0.000263;0.001431;16
8;100;0.00033;0.00023;0.000255;0.001457;16
8;100;0.000302;0.00019;0.000265;0.001429;16
8;100;0.00022;0.000172;0.000211;0.001242;16
8;100;0.000335;0.000199;0.000236;0.00145;16
8;100;0.000208;0.000175;0.000288;0.001314;16
8;100;0.000319;0.000269;0.000192;0.001414;16
8;100;0.000317;0.000195;0.000114;0.001268;16
8;100;0.000339;0.000286;0.000178;0.001436;16
8;100;0.000323;0.000186;0.000188;0.001333;16
8;100;0.000182;0.00026;0.000284;0.001383;16
8;100;0.000304;0.000161;0.000147;0.001259;16
8;100;0.000297;0.000146;0.000145;0.001242;16
8;100;0.000164;0.000253;0.000257;0.001381;16
8;100;0.000194;0.00016;0.000304;0.001293;16
8;100;0.000205;0.000279;0.000231;0.001342;16
8;100;0.00034;0.000157;0.000163;0.001293;16
8;100;0.000359;0.000123;0.000176;0.001324;16
8;100;0.000263;0.000222;0.000293;0.001442;16
8;100;0.000276;0.000273;0.00015;0.00134;16
8;100;0.0003;0.000249;0.000229;0.001421;16
8;100;0.000228;0.000221;0.00021;0.001309;16
8;100;0.000282;0.000246;0.000198;0.001417;16
8;100;0.000227;0.000263;0.000244;0.001391;16
8;100;0.000294;0.000265;0.000244;0.001507;16
8;100;0.000311;0.000233;0.000267;0.001446;16
8;100;0.000248;0.000255;0.000176;0.001319;16
8;100;0.000154;0.000147;0.000245;0.001205;16
8;100;0.000275;0.000244;0.000195;0.001354;16
8;100;0.000257;0.000201;0.000207;0.001316;16
8;100;0.000301;0.00024;0.000276;0.001459;16
8;100;0.000188;0.000204;0.000158;0.001221;16
8;100;0.000205;0.000264;0.000233;0.001333;16
8;100;0.000272;0.000158;0.000272;0.00138;16
8;100;0.000427;0.000285;0.00023;0.001627;24
8;100;0.000335;0.00025;0.000284;0.001519;24
8;100;0.000437;0.000269;0.000211;0.001613;24
8;100;0.000279;0.000247;0.000251;0.001429;24
8;100;0.000353;0.000255;0.000312;0.001562;24
8;100;0.00029;0.000377;0.000281;0.001595;24
8;100;0.000471;0.000252;0.000276;0.001641;24
8;100;0.000432;0.000246;0.000161;0.001536;24
8;100;0.00019;0.000346;0.000404;0.001587;24
8;100;0.00038;0.000248;0.000268;0.001539;24
8;100;0.000332;0.000228;0.000358;0.00161;24
8;100;0.000234;0.000275;0.000278;0.001438;24
8;100;0.000451;0.000375;0.000328;0.001794;24
8;100;0.000326;0.00025;0.000414;0.001693;24
8;100;0.000352;0.000244;0.000318;0.001592;24
8;100;0.000448;0.000338;0.000374;0.001805;24
8;100;0.000463;0.000255;0.000304;0.0017;24
8;100;0.000401;0.000316;0.000356;0.001756;24
8;100;0.000197;0.000328;0.000422;0.0016;24
8;100;0.000298;0.000291;0.000406;0.001679;24
8;100;0.000418;0.000386;0.00024;0.001702;24
8;100;0.000467;0.000228;0.000301;0.001668;24
8;100;0.000182;0.000217;0.000282;0.001326;24
8;100;0.000401;0.000207;0.00033;0.001577;24
8;100;0.000286;0.000256;0.000194;0.001415;24
8;100;0.000242;0.00021;0.000246;0.001336;24
8;100;0.000452;0.000318;0.000272;0.001699;24
8;100;0.00029;0.000263;0.000343;0.001538;24
8;100;0.000296;0.000244;0.000427;0.001609;24
8;100;0.000297;0.000385;0.000445;0.00177;24
8;100;0.000181;0.00034;0.000337;0.001569;24
8;100;0.000441;0.000338;0.000254;0.001672;24
8;100;0.000375;0.000267;0.000238;0.001528;24
8;100;0.000337;0.000376;0.000375;0.001756;24
8;100;0.000389;0.000318;0.000221;0.001579;24
8;100;0.000369;0.000244;0.000181;0.001459;24
8;100;0.000443;0.000283;0.00037;0.001784;24
8;100;0.000313;0.000258;0.000405;0.001622;24
8;100;0.000377;0.000271;0.000201;0.001493;24
8;100;0.000425;0.000251;0.000351;0.001733;24
8;100;0.000122;0.000285;0.000298;0.001378;24
8;100;0.000258;0.000271;0.000293;0.001467;24
8;100;0.000254;0.000323;0.000459;0.001681;24
8;100;0.000212;0.000223;0.000249;0.001371;24
8;100;0.000442;0.000227;0.000342;0.001678;24
