Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.001659;0.001307;24
0;8;100;0.0015;0.001147;24
0;8;100;0.001537;0.001292;24
0;8;100;0.00138;0.001085;24
0;8;100;0.001616;0.00112;24
0;8;100;0.001434;0.001181;24
0;8;100;0.001477;0.001248;24
0;8;100;0.001503;0.001116;24
0;8;100;0.001619;0.001086;24
0;8;100;0.001734;0.001086;24
0;8;100;0.001648;0.001225;24
0;8;100;0.001497;0.001148;24
0;8;100;0.001613;0.001122;24
0;8;100;0.001704;0.001125;24
0;8;100;0.00171;0.001123;24
0;8;100;0.001315;0.001072;24
0;8;100;0.001399;0.001168;24
0;8;100;0.0016;0.001126;24
0;8;100;0.001659;0.001156;24
0;8;100;0.001702;0.001298;24
0;8;100;0.001559;0.001162;24
0;8;100;0.001659;0.001134;24
0;8;100;0.001417;0.001192;24
0;8;100;0.001558;0.001117;24
0;8;100;0.001467;0.001088;24
0;8;100;0.001606;0.001133;24
0;8;100;0.001598;0.001097;24
0;8;100;0.001597;0.001264;24
0;8;100;0.001576;0.001074;24
0;8;100;0.001756;0.001095;24
0;8;100;0.00158;0.0011;24
0;8;100;0.001616;0.001201;24
0;8;100;0.0013;0.001067;24
0;8;100;0.001543;0.001095;24
0;8;100;0.001407;0.001265;24
0;8;100;0.001485;0.00113;24
0;8;100;0.00163;0.001143;24
0;8;100;0.001558;0.001085;24
0;8;100;0.001648;0.001224;24
0;8;100;0.001679;0.00123;24
0;8;100;0.001729;0.001118;24
0;8;100;0.001536;0.001165;24
0;8;100;0.001522;0.001101;24
0;8;100;0.001639;0.001103;24
0;8;100;0.001334;0.00118;24
0;8;100;0.001332;0.001176;24
0;8;100;0.001442;0.001108;24
0;8;100;0.001665;0.001106;24
0;8;100;0.001639;0.001232;24
0;8;100;0.00176;0.001131;24
1;8;100;0.001494;0.001111;24
1;8;100;0.001264;0.00118;24
1;8;100;0.00127;0.001146;24
1;8;100;0.001302;0.001154;24
1;8;100;0.001309;0.001146;24
1;8;100;0.001455;0.001322;24
1;8;100;0.001353;0.001278;24
1;8;100;0.001323;0.001116;24
1;8;100;0.001347;0.00112;24
1;8;100;0.001354;0.001188;24
1;8;100;0.001392;0.001134;24
1;8;100;0.001417;0.001296;24
1;8;100;0.00137;0.001171;24
1;8;100;0.001399;0.001098;24
1;8;100;0.00143;0.001097;24
1;8;100;0.001364;0.001119;24
1;8;100;0.001328;0.001124;24
1;8;100;0.001315;0.001177;24
1;8;100;0.001268;0.001122;24
1;8;100;0.001439;0.001107;24
1;8;100;0.001422;0.001333;24
1;8;100;0.001286;0.001289;24
1;8;100;0.001251;0.001287;24
1;8;100;0.001231;0.001143;24
