Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.001667;0.000399;48
0;8;100;0.001504;0.000414;48
0;8;100;0.001489;0.00039;48
0;8;100;0.001301;0.000344;48
0;8;100;0.001917;0.000394;48
0;8;100;0.001709;0.000386;48
0;8;100;0.001624;0.00041;48
0;8;100;0.001774;0.000333;48
0;8;100;0.001917;0.000326;48
0;8;100;0.001626;0.00039;48
0;8;100;0.001849;0.000337;48
0;8;100;0.001917;0.000391;48
0;8;100;0.001875;0.000395;48
0;8;100;0.001327;0.000399;48
0;8;100;0.001769;0.000418;48
0;8;100;0.001838;0.000377;48
0;8;100;0.001511;0.000371;48
0;8;100;0.001695;0.000392;48
0;8;100;0.001421;0.000326;48
0;8;100;0.00128;0.000345;48
0;8;100;0.00187;0.000371;48
0;8;100;0.001496;0.000384;48
0;8;100;0.001562;0.000362;48
0;8;100;0.001347;0.000413;48
0;8;100;0.001876;0.000405;48
0;8;100;0.001768;0.000409;48
0;8;100;0.001501;0.000361;48
0;8;100;0.001541;0.000355;48
0;8;100;0.002059;0.00036;48
0;8;100;0.001749;0.000377;48
0;8;100;0.001571;0.000389;48
0;8;100;0.001611;0.000386;48
0;8;100;0.00127;0.000366;48
0;8;100;0.001695;0.000343;48
0;8;100;0.001474;0.000401;48
0;8;100;0.001725;0.000375;48
0;8;100;0.001243;0.068896;48
0;8;100;0.001178;0.000386;48
0;8;100;0.001717;0.000359;48
0;8;100;0.001538;0.000383;48
0;8;100;0.001896;0.000334;48
0;8;100;0.001699;0.010284;48
0;8;100;0.002005;0.00035;48
0;8;100;0.001239;0.000397;48
0;8;100;0.001732;0.000404;48
0;8;100;0.001786;0.000358;48
0;8;100;0.001694;0.000405;48
0;8;100;0.001634;0.000359;48
0;8;100;0.001474;0.000443;48
0;8;100;0.001469;0.000365;48
1;8;100;0.00131;0.000443;48
1;8;100;0.001153;0.0004;48
1;8;100;0.001366;0.000356;48
1;8;100;0.001191;0.000427;48
1;8;100;0.001608;0.000384;48
1;8;100;0.001395;0.000342;48
1;8;100;0.00134;0.000424;48
1;8;100;0.001447;0.000436;48
1;8;100;0.001298;0.000414;48
1;8;100;0.001593;0.000378;48
1;8;100;0.001571;0.000418;48
1;8;100;0.00145;0.000358;48
1;8;100;0.001338;0.000467;48
1;8;100;0.00125;0.000438;48
1;8;100;0.001368;0.000409;48
1;8;100;0.001361;0.000422;48
1;8;100;0.001698;0.000364;48
1;8;100;0.001314;0.000365;48
1;8;100;0.00171;0.000469;48
1;8;100;0.001095;0.000345;48
1;8;100;0.001168;0.000428;48
1;8;100;0.001293;0.000369;48
1;8;100;0.001249;0.000355;48
1;8;100;0.00102;0.000329;48
1;8;100;0.001417;0.000407;48
1;8;100;0.001499;0.000341;48
1;8;100;0.001469;0.000442;48
1;8;100;0.001336;0.000386;48
1;8;100;0.001365;0.000431;48
1;8;100;0.001393;0.000363;48
1;8;100;0.001246;0.000374;48
1;8;100;0.001286;0.000452;48
1;8;100;0.001191;0.000419;48
1;8;100;0.001853;0.000411;48
1;8;100;0.00142;0.000369;48
1;8;100;0.001108;0.000458;48
1;8;100;0.001774;0.000385;48
1;8;100;0.001583;0.000423;48
1;8;100;0.001124;0.000445;48
1;8;100;0.001355;0.00042;48
1;8;100;0.001348;0.000349;48
1;8;100;0.001608;0.000447;48
1;8;100;0.001508;0.000395;48
1;8;100;0.0014;0.000422;48
1;8;100;0.001711;0.000355;48
1;8;100;0.001417;0.000387;48
1;8;100;0.001272;0.000354;48
1;8;100;0.001363;0.00038;48
