Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.002075;0.002208;48
0;8;100;0.002497;0.002146;48
0;8;100;0.002244;0.0025;48
0;8;100;0.002196;0.002169;48
0;8;100;0.002229;0.002104;48
0;8;100;0.002016;0.002135;48
0;8;100;0.00221;0.00236;48
0;8;100;0.002253;0.002141;48
0;8;100;0.002473;0.00218;48
0;8;100;0.002226;0.002199;48
0;8;100;0.002465;0.002237;48
0;8;100;0.002251;0.002114;48
0;8;100;0.002148;0.002128;48
0;8;100;0.001834;0.002158;48
0;8;100;0.002251;0.002298;48
0;8;100;0.001937;0.00224;48
0;8;100;0.002144;0.002216;48
0;8;100;0.002452;0.002218;48
0;8;100;0.002122;0.002226;48
0;8;100;0.00207;0.002102;48
0;8;100;0.002279;0.002111;48
0;8;100;0.002522;0.002221;48
0;8;100;0.002581;0.002173;48
0;8;100;0.002344;0.00213;48
0;8;100;0.00221;0.002155;48
0;8;100;0.002192;0.002189;48
0;8;100;0.002336;0.002309;48
0;8;100;0.002041;0.002194;48
0;8;100;0.002071;0.002217;48
0;8;100;0.002351;0.002704;48
0;8;100;0.002093;0.002133;48
0;8;100;0.00221;0.002241;48
0;8;100;0.00254;0.002189;48
0;8;100;0.00208;0.002444;48
0;8;100;0.00213;0.002191;48
0;8;100;0.002121;0.002133;48
0;8;100;0.002168;0.002247;48
0;8;100;0.002306;0.002182;48
0;8;100;0.00234;0.002151;48
0;8;100;0.001882;0.002236;48
0;8;100;0.002394;0.0021;48
0;8;100;0.002407;0.002146;48
0;8;100;0.002459;0.002191;48
0;8;100;0.002082;0.002148;48
0;8;100;0.002011;0.002207;48
0;8;100;0.002138;0.002163;48
0;8;100;0.002547;0.002211;48
0;8;100;0.002111;0.002296;48
0;8;100;0.001938;0.002443;48
0;8;100;0.002113;0.002141;48
1;8;100;0.016143;0.002166;48
1;8;100;0.00227;0.002192;48
1;8;100;0.002163;0.002139;48
1;8;100;0.002005;0.002153;48
1;8;100;0.002096;0.002319;48
1;8;100;0.001851;0.002055;48
1;8;100;0.00183;0.002036;48
1;8;100;0.001944;0.002105;48
1;8;100;0.001988;0.002083;48
1;8;100;0.001872;0.002199;48
1;8;100;0.002109;0.002188;48
1;8;100;0.001921;0.002075;48
1;8;100;0.002006;0.002122;48
1;8;100;0.00185;0.002425;48
1;8;100;0.00219;0.002268;48
1;8;100;0.002006;0.00216;48
1;8;100;0.001832;0.002068;48
1;8;100;0.002099;0.002099;48
1;8;100;0.001951;0.00217;48
1;8;100;0.001783;0.002126;48
1;8;100;0.00174;0.002105;48
1;8;100;0.001942;0.002045;48
1;8;100;0.001985;0.002092;48
1;8;100;0.002003;0.002045;48
1;8;100;0.002094;0.002199;48
1;8;100;0.001882;0.002223;48
1;8;100;0.002031;0.002091;48
1;8;100;0.001936;0.002055;48
1;8;100;0.002095;0.002046;48
1;8;100;0.001681;0.002046;48
1;8;100;0.00161;0.002076;48
1;8;100;0.002007;0.002259;48
1;8;100;0.00211;0.002113;48
1;8;100;0.002043;0.002098;48
1;8;100;0.001919;0.002088;48
1;8;100;0.001824;0.002085;48
1;8;100;0.002067;0.0021;48
1;8;100;0.002101;0.002151;48
1;8;100;0.002341;0.002114;48
1;8;100;0.0018;0.002207;48
1;8;100;0.002127;0.00211;48
1;8;100;0.002022;0.002087;48
1;8;100;0.001962;0.002115;48
1;8;100;0.001967;0.002104;48
1;8;100;0.002163;0.002126;48
1;8;100;0.002159;0.002104;48
1;8;100;0.001924;0.002114;48
1;8;100;0.001933;0.002121;48
1;8;100;0.002285;0.00208;48
1;8;100;0.002151;0.002044;48
2;8;100;0.016119;0.002136;48
2;8;100;0.001924;0.002117;48
2;8;100;0.001925;0.002218;48
2;8;100;0.001628;0.002122;48
2;8;100;0.002225;0.002173;48
2;8;100;0.002009;0.002281;48
2;8;100;0.002146;0.002096;48
2;8;100;0.001814;0.002297;48
2;8;100;0.001542;0.002141;48
2;8;100;0.001635;0.002114;48
2;8;100;0.001719;0.002163;48
2;8;100;0.001754;0.002213;48
2;8;100;0.001748;0.002095;48
2;8;100;0.001894;0.002148;48
2;8;100;0.001859;0.00212;48
2;8;100;0.001894;0.002111;48
2;8;100;0.00197;0.002166;48
2;8;100;0.001904;0.002202;48
2;8;100;0.00198;0.002215;48
2;8;100;0.001827;0.002131;48
2;8;100;0.001713;0.002294;48
2;8;100;0.001878;0.002228;48
2;8;100;0.001807;0.002046;48
2;8;100;0.001796;0.002103;48
2;8;100;0.001871;0.002182;48
2;8;100;0.002034;0.002076;48
2;8;100;0.002026;0.00214;48
2;8;100;0.002197;0.002113;48
2;8;100;0.001736;0.002051;48
2;8;100;0.001653;0.002374;48
2;8;100;0.001779;0.002144;48
2;8;100;0.001949;0.002091;48
2;8;100;0.002083;0.002158;48
2;8;100;0.001878;0.002396;48
2;8;100;0.001784;0.002046;48
2;8;100;0.001927;0.002105;48
2;8;100;0.001637;0.00212;48
2;8;100;0.001807;0.002132;48
2;8;100;0.001966;0.002116;48
2;8;100;0.001623;0.002178;48
2;8;100;0.001916;0.002096;48
