Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.001611;0.000457;24
0;8;100;0.001498;0.000514;24
0;8;100;0.001679;0.000432;24
0;8;100;0.001622;0.000473;24
0;8;100;0.001612;0.00041;24
0;8;100;0.001564;0.000446;24
0;8;100;0.001584;0.00043;24
0;8;100;0.001389;0.000476;24
0;8;100;0.001663;0.000458;24
0;8;100;0.001611;0.000445;24
0;8;100;0.001401;0.00043;24
0;8;100;0.001643;0.000442;24
0;8;100;0.00194;0.000467;24
0;8;100;0.001496;0.000435;24
0;8;100;0.001412;0.000461;24
0;8;100;0.001429;0.000453;24
0;8;100;0.001604;0.000444;24
0;8;100;0.00165;0.000466;24
0;8;100;0.001442;0.000423;24
0;8;100;0.001643;0.000426;24
0;8;100;0.001572;0.000455;24
0;8;100;0.001422;0.000446;24
0;8;100;0.001636;0.000445;24
0;8;100;0.001502;0.000462;24
0;8;100;0.00165;0.000456;24
0;8;100;0.001536;0.000457;24
0;8;100;0.001458;0.000474;24
0;8;100;0.001418;0.000457;24
0;8;100;0.001528;0.000468;24
0;8;100;0.001415;0.000474;24
0;8;100;0.001614;0.000436;24
0;8;100;0.001496;0.000455;24
0;8;100;0.001559;0.000444;24
0;8;100;0.001475;0.000444;24
0;8;100;0.001582;0.000438;24
0;8;100;0.00141;0.00045;24
0;8;100;0.001408;0.000455;24
0;8;100;0.001424;0.000453;24
0;8;100;0.001629;0.000401;24
0;8;100;0.001424;0.00042;24
0;8;100;0.001588;0.000436;24
0;8;100;0.001618;0.000441;24
0;8;100;0.0016;0.000411;24
0;8;100;0.001576;0.000415;24
0;8;100;0.001874;0.00047;24
0;8;100;0.001463;0.000444;24
0;8;100;0.001654;0.000416;24
0;8;100;0.001697;0.000462;24
0;8;100;0.001779;0.000417;24
0;8;100;0.001687;0.000435;24
1;8;100;0.013522;0.060204;24
1;8;100;0.00145;0.083591;24
1;8;100;0.001463;0.11478;24
1;8;100;0.001415;0.096411;24
1;8;100;0.001375;0.13376;24
1;8;100;0.001437;0.075643;24
1;8;100;0.001588;0.113229;24
1;8;100;0.001336;0.11434;24
1;8;100;0.001562;0.102406;24
