Cores;Input.Size;Time.MALMS;Time.MCSTL;Time.STDSORT;Workpakets
8;100;0.003845;0.000471;1.8e-05;100
8;100;0.003788;0.000444;1.7e-05;100
8;100;0.003615;0.000427;1.7e-05;100
8;100;0.003502;0.000428;1.7e-05;100
8;100;0.003836;0.000443;1.8e-05;100
8;100;0.003372;0.000437;1.6e-05;100
8;100;0.003651;0.000493;1.7e-05;100
8;100;0.003768;0.000442;1.6e-05;100
8;100;0.003475;0.000456;2e-05;100
8;100;0.00349;0.000473;2.3e-05;100
8;100;0.003014;0.000429;1.7e-05;100
8;100;0.003514;0.000458;1.7e-05;100
8;100;0.003342;0.000427;1.8e-05;100
8;100;0.003175;0.000429;1.9e-05;100
8;100;0.003824;0.000494;1.7e-05;100
8;100;0.003249;0.000474;1.7e-05;100
8;100;0.003322;0.000478;1.7e-05;100
8;100;0.003495;0.000486;1.7e-05;100
8;100;0.003322;0.000443;1.8e-05;100
8;100;0.004112;0.00047;1.8e-05;100
8;100;0.003201;0.000487;1.9e-05;100
8;100;0.004192;0.000511;1.7e-05;100
8;100;0.003398;0.000464;1.8e-05;100
8;100;0.004091;0.000461;1.6e-05;100
8;100;0.004039;0.000464;1.6e-05;100
8;100;0.00405;0.000453;1.7e-05;100
8;100;0.004057;0.000412;1.7e-05;100
8;100;0.003706;0.000528;1.8e-05;100
8;100;0.003235;0.000472;1.7e-05;100
8;100;0.003516;0.000504;1.8e-05;100
8;100;0.004007;0.000467;1.6e-05;100
8;100;0.003512;0.00045;1.7e-05;100
8;100;0.004104;0.000457;1.7e-05;100
8;100;0.00406;0.000483;1.6e-05;100
8;100;0.004128;0.000451;1.6e-05;100
8;100;0.004649;0.000483;1.7e-05;100
8;100;0.003845;0.000479;1.8e-05;100
8;100;0.003892;0.000447;1.7e-05;100
8;100;0.003546;0.000451;1.6e-05;100
8;100;0.003015;0.000481;1.6e-05;100
8;100;0.003841;0.000412;1.7e-05;100
8;100;0.003361;0.000466;1.7e-05;100
8;100;0.003587;0.000449;1.7e-05;100
8;100;0.004021;0.000464;1.8e-05;100
8;100;0.004172;0.000473;1.7e-05;100
8;100;0.003468;0.000477;1.6e-05;100
8;100;0.003944;0.000473;1.8e-05;100
8;100;0.003729;0.000417;1.7e-05;100
8;100;0.003028;0.000461;1.7e-05;100
8;100;0.003796;0.000466;1.7e-05;100
8;1000;0.003692;0.000505;6.3e-05;100
8;1000;0.003858;0.000506;6.3e-05;100
8;1000;0.003708;0.000466;6.2e-05;100
8;1000;0.00359;0.000485;6.2e-05;100
8;1000;0.003555;0.000487;6.1e-05;100
8;1000;0.003516;0.00054;6.2e-05;100
8;1000;0.00403;0.000494;6.2e-05;100
8;1000;0.003785;0.000495;6.2e-05;100
8;1000;0.003749;0.000437;6.2e-05;100
8;1000;0.00398;0.00045;6.3e-05;100
8;1000;0.003405;0.000482;6.2e-05;100
8;1000;0.003815;0.000484;6.2e-05;100
8;1000;0.003826;0.000499;6.3e-05;100
8;1000;0.003778;0.000503;6.3e-05;100
8;1000;0.003986;0.000467;6.2e-05;100
8;1000;0.004231;0.000486;6.2e-05;100
8;1000;0.003894;0.000462;6.3e-05;100
8;1000;0.003239;0.00049;6.2e-05;100
8;1000;0.003307;0.000507;6.2e-05;100
8;1000;0.003788;0.000475;6.1e-05;100
8;1000;0.003643;0.000442;6.3e-05;100
8;1000;0.003449;0.000485;6.2e-05;100
8;1000;0.003383;0.000529;6.3e-05;100
8;1000;0.003878;0.000488;6.1e-05;100
8;1000;0.003786;0.000529;6.4e-05;100
8;1000;0.003826;0.000492;6.1e-05;100
8;1000;0.003814;0.000508;6.1e-05;100
8;1000;0.004326;0.000447;6.2e-05;100
8;1000;0.00375;0.000437;6.2e-05;100
8;1000;0.003853;0.000546;6.2e-05;100
8;1000;0.003783;0.000477;6.3e-05;100
8;1000;0.003961;0.000498;6.2e-05;100
8;1000;0.003846;0.000447;6.1e-05;100
8;1000;0.003511;0.00049;6.1e-05;100
8;1000;0.003933;0.000526;6.1e-05;100
8;1000;0.003752;0.000475;6.2e-05;100
8;1000;0.003382;0.000486;6.1e-05;100
8;1000;0.003964;0.000427;6.2e-05;100
8;1000;0.00358;0.00049;6.3e-05;100
8;1000;0.003959;0.000477;6.2e-05;100
8;1000;0.003691;0.000466;6.3e-05;100
8;1000;0.004267;0.000469;6.3e-05;100
8;1000;0.003655;0.000484;6.2e-05;100
8;1000;0.003479;0.000458;6.2e-05;100
8;1000;0.003156;0.000498;6.2e-05;100
8;1000;0.003224;0.000465;6.2e-05;100
8;1000;0.003849;0.000465;6.1e-05;100
8;1000;0.003687;0.000447;6.4e-05;100
8;1000;0.003924;0.000476;6.2e-05;100
8;1000;0.004054;0.000468;6.1e-05;100
8;10000;0.003728;0.000596;0.000664;100
8;10000;0.003297;0.000672;0.000706;100
8;10000;0.003726;0.000668;0.000663;100
8;10000;0.003499;0.000587;0.000663;100
8;10000;0.003905;0.000684;0.000663;100
8;10000;0.003875;0.000644;0.000663;100
8;10000;0.003715;0.000644;0.000663;100
8;10000;0.00365;0.000683;0.000662;100
8;10000;0.003751;0.000629;0.000663;100
8;10000;0.003771;0.000704;0.000662;100
8;10000;0.003756;0.000629;0.000663;100
8;10000;0.003617;0.000662;0.000664;100
8;10000;0.003724;0.000658;0.000663;100
8;10000;0.003584;0.000606;0.000663;100
8;10000;0.003244;0.010592;0.000662;100
8;10000;0.003254;0.000626;0.000662;100
8;10000;0.003883;0.000645;0.000662;100
8;10000;0.0036;0.000636;0.000663;100
8;10000;0.003301;0.000614;0.000663;100
8;10000;0.003449;0.000627;0.000662;100
8;10000;0.003664;0.000649;0.000663;100
8;10000;0.003643;0.000631;0.000663;100
8;10000;0.003462;0.000623;0.000663;100
8;10000;0.003716;0.000631;0.000664;100
8;10000;0.003396;0.000637;0.000663;100
8;10000;0.003157;0.000611;0.000664;100
8;10000;0.003429;0.000628;0.000661;100
8;10000;0.004087;0.000627;0.000663;100
8;10000;0.003822;0.000649;0.000663;100
8;10000;0.003929;0.000643;0.000662;100
8;10000;0.003455;0.000656;0.000663;100
8;10000;0.003623;0.000656;0.000663;100
8;10000;0.003135;0.000648;0.000664;100
8;10000;0.003578;0.000644;0.000663;100
8;10000;0.003637;0.000622;0.000663;100
8;10000;0.004087;0.000635;0.000663;100
8;10000;0.003713;0.000643;0.000663;100
8;10000;0.00366;0.000649;0.000662;100
8;10000;0.003483;0.000674;0.000664;100
8;10000;0.003776;0.000661;0.000665;100
8;10000;0.003448;0.000661;0.000664;100
8;10000;0.003679;0.000572;0.000663;100
8;10000;0.004021;0.000627;0.000662;100
8;10000;0.003746;0.000641;0.000663;100
8;10000;0.003522;0.000662;0.000663;100
8;10000;0.003917;0.000638;0.000663;100
8;10000;0.003529;0.000624;0.000665;100
8;10000;0.004133;0.0006;0.000663;100
8;10000;0.003869;0.000619;0.000664;100
8;10000;0.003972;0.00063;0.000663;100
8;100000;0.004601;0.002168;0.008023;100
8;100000;0.004507;0.002221;0.008005;100
8;100000;0.00447;0.002287;0.008005;100
8;100000;0.004594;0.003609;0.008023;100
8;100000;0.004419;0.002235;0.008025;100
8;100000;0.004531;0.00205;0.008007;100
8;100000;0.004446;0.002355;0.008022;100
8;100000;0.004494;0.001985;0.008024;100
8;100000;0.004472;0.002071;0.008018;100
8;100000;0.004723;0.002104;0.008023;100
8;100000;0.004447;0.002403;0.008004;100
8;100000;0.004484;0.002005;0.008004;100
8;100000;0.004449;0.002221;0.008019;100
8;100000;0.004498;0.002125;0.008022;100
8;100000;0.004521;0.00262;0.008019;100
8;100000;0.00504;0.002044;0.008026;100
8;100000;0.004445;0.002218;0.008003;100
8;100000;0.00468;0.002383;0.008029;100
8;100000;0.004502;0.002006;0.00801;100
8;100000;0.004667;0.002321;0.008013;100
8;100000;0.004483;0.002429;0.008005;100
8;100000;0.004749;0.002127;0.008034;100
8;100000;0.00462;0.002472;0.008032;100
8;100000;0.004608;0.0021;0.008021;100
8;100000;0.004659;0.002523;0.008012;100
8;100000;0.004581;0.002059;0.008019;100
8;100000;0.004685;0.002056;0.00802;100
8;100000;0.004589;0.002525;0.008017;100
8;100000;0.00455;0.002098;0.008011;100
8;100000;0.00441;0.002019;0.008015;100
8;100000;0.004544;0.002105;0.008013;100
8;100000;0.004496;0.002231;0.008051;100
8;100000;0.004443;0.002033;0.008004;100
8;100000;0.004479;0.002868;0.008016;100
8;100000;0.004584;0.002105;0.00803;100
8;100000;0.004764;0.002217;0.00803;100
8;100000;0.004415;0.00204;0.008004;100
8;100000;0.004612;0.002237;0.008021;100
8;100000;0.004692;0.0021;0.008022;100
8;100000;0.004606;0.002227;0.008029;100
8;100000;0.004559;0.002171;0.008028;100
8;100000;0.004735;0.002;0.008019;100
8;100000;0.004709;0.002168;0.008034;100
8;100000;0.004629;0.002093;0.00801;100
8;100000;0.004423;0.002268;0.008023;100
8;100000;0.004621;0.002126;0.008004;100
8;100000;0.004572;0.002105;0.008032;100
8;100000;0.004457;0.002552;0.008024;100
8;100000;0.004757;0.002061;0.008028;100
8;100000;0.004476;0.001991;0.008016;100
8;1000000;0.023008;0.017271;0.09489;100
8;1000000;0.02314;0.017433;0.094889;100
8;1000000;0.023583;0.018962;0.09491;100
8;1000000;0.023217;0.017336;0.094883;100
8;1000000;0.024019;0.017286;0.094894;100
8;1000000;0.023377;0.018828;0.094895;100
8;1000000;0.022908;0.017221;0.094889;100
8;1000000;0.023481;0.018896;0.095003;100
8;1000000;0.023459;0.017492;0.094915;100
8;1000000;0.023186;0.021754;0.094868;100
8;1000000;0.022917;0.022036;0.094898;100
8;1000000;0.023175;0.018772;0.094938;100
8;1000000;0.023271;0.018958;0.094896;100
8;1000000;0.023033;0.018879;0.094908;100
8;1000000;0.022882;0.021918;0.094889;100
8;1000000;0.023474;0.018626;0.094899;100
8;1000000;0.023182;0.01697;0.094903;100
8;1000000;0.02325;0.017574;0.094877;100
8;1000000;0.023084;0.017232;0.094881;100
8;1000000;0.023182;0.021878;0.094865;100
8;1000000;0.023513;0.020765;0.094888;100
8;1000000;0.023918;0.017323;0.094892;100
8;1000000;0.022785;0.018976;0.094872;100
8;1000000;0.023739;0.018861;0.094871;100
8;1000000;0.023029;0.018827;0.094905;100
8;1000000;0.023059;0.017443;0.094911;100
8;1000000;0.023295;0.017594;0.094878;100
8;1000000;0.023304;0.017236;0.094886;100
8;1000000;0.023012;0.019042;0.094886;100
8;1000000;0.023213;0.017157;0.094877;100
8;1000000;0.023341;0.018796;0.094892;100
8;1000000;0.023829;0.018734;0.094871;100
8;1000000;0.023246;0.016939;0.094888;100
8;1000000;0.023035;0.017196;0.094909;100
8;1000000;0.023155;0.020283;0.094864;100
8;1000000;0.023547;0.017014;0.094868;100
8;1000000;0.022882;0.021261;0.094905;100
8;1000000;0.023272;0.017359;0.094902;100
8;1000000;0.022831;0.017303;0.094895;100
8;1000000;0.023491;0.02027;0.0949;100
8;1000000;0.023456;0.017298;0.094907;100
8;1000000;0.022986;0.020003;0.09503;100
8;1000000;0.022909;0.018998;0.094895;100
8;1000000;0.023138;0.020283;0.094881;100
8;1000000;0.023879;0.016983;0.094897;100
8;1000000;0.023098;0.018367;0.094923;100
8;1000000;0.023242;0.018756;0.0949;100
8;1000000;0.023235;0.017209;0.094879;100
8;1000000;0.023117;0.017357;0.094936;100
8;1000000;0.022885;0.016993;0.09489;100
8;10000000;0.218923;0.190109;1.10643;100
8;10000000;0.22029;0.192726;1.10645;100
