Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001701;0.000406;48
8;100;0.001286;0.000397;48
8;100;0.001383;0.000382;48
8;100;0.001778;0.00037;48
8;100;0.001591;0.000362;48
8;100;0.001325;0.000418;48
8;100;0.001646;0.000372;48
8;100;0.001507;0.000353;48
8;100;0.001239;0.00039;48
8;100;0.001482;0.000351;48
8;100;0.001667;0.000326;48
8;100;0.001382;0.000396;48
8;100;0.00164;0.000337;48
8;100;0.001761;0.00039;48
8;100;0.001567;0.000383;48
8;100;0.001784;0.000337;48
8;100;0.001375;0.000378;48
8;100;0.001404;0.000376;48
8;100;0.001487;0.000413;48
8;100;0.001638;0.000363;48
8;100;0.001743;0.000389;48
8;100;0.002043;0.000381;48
8;100;0.001469;0.000422;48
8;100;0.001977;0.000389;48
8;100;0.0014;0.000412;48
8;100;0.001452;0.000365;48
8;100;0.001483;0.000328;48
8;100;0.001618;0.000383;48
8;100;0.001871;0.000367;48
8;100;0.001449;0.000378;48
8;100;0.001574;0.000344;48
8;100;0.001857;0.000416;48
8;100;0.001601;0.000373;48
8;100;0.00187;0.000414;48
8;100;0.00149;0.000367;48
8;100;0.001499;0.000382;48
8;100;0.001899;0.000393;48
8;100;0.001883;0.000365;48
8;100;0.001335;0.000392;48
8;100;0.001866;0.000398;48
8;100;0.001622;0.000421;48
8;100;0.001884;0.000354;48
8;100;0.001719;0.000328;48
8;100;0.001438;0.000381;48
8;100;0.001498;0.000348;48
8;100;0.001639;0.068799;48
8;100;0.001104;0.000411;48
8;100;0.001489;0.000357;48
8;100;0.001679;0.000377;48
8;100;0.001672;0.000391;48
8;1000;0.001645;0.000449;48
8;1000;0.001441;0.000451;48
8;1000;0.001487;0.000416;48
8;1000;0.001648;0.000422;48
8;1000;0.001721;0.000453;48
8;1000;0.001911;0.000378;48
8;1000;0.001389;0.000433;48
8;1000;0.001683;0.000372;48
8;1000;0.001673;0.000441;48
8;1000;0.001501;0.000397;48
8;1000;0.001416;0.000456;48
8;1000;0.001627;0.000425;48
8;1000;0.001353;0.000441;48
8;1000;0.001368;0.000466;48
8;1000;0.001821;0.000454;48
8;1000;0.001528;0.000355;48
8;1000;0.001622;0.000477;48
8;1000;0.001767;0.000436;48
8;1000;0.00161;0.000431;48
8;1000;0.002002;0.000437;48
8;1000;0.002062;0.000421;48
8;1000;0.001565;0.000372;48
8;1000;0.001534;0.000384;48
8;1000;0.001704;0.000407;48
8;1000;0.001571;0.00044;48
8;1000;0.001443;0.000436;48
8;1000;0.001631;0.0004;48
8;1000;0.001707;0.000454;48
8;1000;0.001464;0.000434;48
8;1000;0.001958;0.000448;48
8;1000;0.001734;0.000457;48
8;1000;0.001291;0.000423;48
8;1000;0.001462;0.000424;48
8;1000;0.001767;0.000453;48
8;1000;0.00182;0.000373;48
8;1000;0.001711;0.000467;48
8;1000;0.001671;0.000456;48
8;1000;0.001572;0.000433;48
8;1000;0.001625;0.000405;48
8;1000;0.001497;0.000432;48
8;1000;0.001345;0.000386;48
8;1000;0.001852;0.000417;48
8;1000;0.001583;0.000447;48
8;1000;0.001504;0.000429;48
8;1000;0.001474;0.000413;48
8;1000;0.001753;0.000354;48
8;1000;0.001348;0.000426;48
8;1000;0.001603;0.000469;48
8;1000;0.001497;0.000424;48
8;1000;0.001852;0.000447;48
8;10000;0.00143;0.000638;48
8;10000;0.00137;0.000609;48
8;10000;0.001405;0.000569;48
8;10000;0.001239;0.000581;48
8;10000;0.001254;0.00058;48
8;10000;0.001168;0.000534;48
8;10000;0.001254;0.000575;48
8;10000;0.001305;0.000622;48
8;10000;0.001312;0.000604;48
8;10000;0.001587;0.000578;48
8;10000;0.001398;0.000564;48
8;10000;0.001333;0.000565;48
8;10000;0.001842;0.000554;48
8;10000;0.001229;0.000617;48
8;10000;0.001478;0.000603;48
8;10000;0.001862;0.000581;48
8;10000;0.001101;0.000572;48
