Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.003478;0.000396;100
0;8;100;0.002616;0.000344;100
0;8;100;0.00336;0.000388;100
0;8;100;0.003334;0.000386;100
0;8;100;0.003371;0.000391;100
0;8;100;0.002816;0.000331;100
0;8;100;0.002926;0.000416;100
0;8;100;0.002637;0.0004;100
0;8;100;0.003538;0.000382;100
0;8;100;0.002754;0.000396;100
0;8;100;0.003458;0.000373;100
0;8;100;0.003424;0.000438;100
0;8;100;0.003354;0.000334;100
0;8;100;0.002963;0.000348;100
0;8;100;0.002897;0.000386;100
0;8;100;0.00293;0.000374;100
0;8;100;0.003748;0.000385;100
0;8;100;0.003716;0.000387;100
0;8;100;0.002713;0.000391;100
0;8;100;0.003408;0.00035;100
0;8;100;0.003398;0.000365;100
0;8;100;0.002887;0.000391;100
0;8;100;0.003094;0.000403;100
0;8;100;0.003327;0.000363;100
0;8;100;0.003497;0.000359;100
0;8;100;0.003279;0.000349;100
0;8;100;0.003271;0.000389;100
0;8;100;0.002723;0.000388;100
0;8;100;0.002679;0.000395;100
0;8;100;0.003267;0.000401;100
0;8;100;0.003282;0.000416;100
0;8;100;0.003076;0.000352;100
0;8;100;0.003401;0.000365;100
0;8;100;0.002608;0.000393;100
0;8;100;0.002624;0.000397;100
0;8;100;0.00299;0.000358;100
0;8;100;0.002683;0.000407;100
0;8;100;0.003136;0.000353;100
0;8;100;0.002875;0.000378;100
0;8;100;0.003216;0.000387;100
0;8;100;0.003143;0.000346;100
0;8;100;0.003133;0.000394;100
0;8;100;0.003184;0.000343;100
0;8;100;0.002806;0.000381;100
0;8;100;0.00352;0.000414;100
0;8;100;0.002782;0.000389;100
0;8;100;0.002971;0.000338;100
0;8;100;0.003016;0.000397;100
0;8;100;0.003214;0.000381;100
0;8;100;0.002756;0.00038;100
1;8;100;0.003045;0.000381;100
1;8;100;0.002931;0.00037;100
1;8;100;0.002747;0.000467;100
1;8;100;0.002592;0.00038;100
1;8;100;0.00309;0.000384;100
1;8;100;0.002362;0.00046;100
1;8;100;0.002838;0.00041;100
1;8;100;0.002893;0.000383;100
1;8;100;0.002885;0.000422;100
1;8;100;0.003086;0.00041;100
1;8;100;0.002389;0.000446;100
1;8;100;0.003355;0.000363;100
1;8;100;0.002882;0.000347;100
1;8;100;0.003059;0.000357;100
1;8;100;0.002694;0.000456;100
1;8;100;0.002796;0.00035;100
1;8;100;0.002846;0.00038;100
1;8;100;0.00266;0.000371;100
1;8;100;0.002691;0.000475;100
1;8;100;0.002754;0.000417;100
1;8;100;0.002329;0.000412;100
1;8;100;0.002823;0.000361;100
1;8;100;0.002839;0.000375;100
1;8;100;0.00308;0.000371;100
1;8;100;0.002569;0.00039;100
1;8;100;0.002883;0.00042;100
1;8;100;0.002669;0.000407;100
1;8;100;0.002125;0.000428;100
1;8;100;0.002611;0.000438;100
1;8;100;0.003644;0.000384;100
1;8;100;0.002729;0.000435;100
1;8;100;0.0025;0.000414;100
1;8;100;0.002472;0.00035;100
1;8;100;0.003171;0.000341;100
1;8;100;0.002899;0.000429;100
1;8;100;0.002122;0.000375;100
1;8;100;0.002629;0.00037;100
1;8;100;0.002674;0.000358;100
1;8;100;0.002698;0.000407;100
1;8;100;0.002878;0.000389;100
1;8;100;0.003076;0.000383;100
1;8;100;0.003313;0.000437;100
1;8;100;0.00258;0.000432;100
1;8;100;0.003133;0.000362;100
1;8;100;0.002931;0.000436;100
1;8;100;0.00244;0.000351;100
1;8;100;0.002567;0.000416;100
1;8;100;0.002984;0.000363;100
1;8;100;0.002634;0.000379;100
1;8;100;0.0028;0.000368;100
2;8;100;0.002848;0.000405;100
2;8;100;0.002491;0.000416;100
2;8;100;0.003174;0.000392;100
2;8;100;0.002109;0.00036;100
2;8;100;0.002416;0.000448;100
2;8;100;0.002065;0.000397;100
2;8;100;0.003127;0.000433;100
2;8;100;0.00251;0.000375;100
2;8;100;0.002783;0.000383;100
2;8;100;0.002841;0.000385;100
2;8;100;0.002598;0.000434;100
2;8;100;0.002456;0.000388;100
2;8;100;0.002897;0.000401;100
2;8;100;0.002855;0.000397;100
2;8;100;0.002555;0.000384;100
2;8;100;0.002626;0.000434;100
2;8;100;0.002836;0.000412;100
2;8;100;0.002887;0.000433;100
2;8;100;0.003289;0.000396;100
2;8;100;0.002822;0.000383;100
2;8;100;0.002729;0.000365;100
2;8;100;0.003003;0.000415;100
2;8;100;0.002852;0.000422;100
2;8;100;0.002609;0.000401;100
2;8;100;0.002652;0.000524;100
2;8;100;0.002859;0.0004;100
2;8;100;0.002211;0.000426;100
2;8;100;0.002715;0.000376;100
2;8;100;0.002559;0.000367;100
2;8;100;0.002796;0.000394;100
2;8;100;0.002904;0.000323;100
2;8;100;0.00235;0.000427;100
2;8;100;0.002364;0.000374;100
2;8;100;0.002922;0.000448;100
2;8;100;0.002787;0.000403;100
2;8;100;0.002565;0.000365;100
2;8;100;0.002241;0.000394;100
2;8;100;0.003282;0.00043;100
2;8;100;0.002357;0.000385;100
2;8;100;0.002885;0.00039;100
2;8;100;0.002715;0.00039;100
2;8;100;0.002888;0.000401;100
2;8;100;0.002585;0.000374;100
2;8;100;0.002611;0.000441;100
2;8;100;0.002743;0.000356;100
2;8;100;0.002733;0.000371;100
2;8;100;0.002932;0.000431;100
2;8;100;0.002959;0.000394;100
2;8;100;0.00276;0.000349;100
2;8;100;0.002913;0.000418;100
3;8;100;0.00203;0.000445;100
3;8;100;0.002185;0.000403;100
3;8;100;0.002175;0.000421;100
3;8;100;0.002419;0.000414;100
3;8;100;0.002146;0.000388;100
3;8;100;0.002454;0.000434;100
3;8;100;0.002184;0.000446;100
3;8;100;0.002345;0.00038;100
3;8;100;0.002352;0.000401;100
3;8;100;0.002156;0.000409;100
3;8;100;0.002181;0.000396;100
3;8;100;0.00252;0.000451;100
3;8;100;0.002571;0.0004;100
3;8;100;0.002046;0.000406;100
3;8;100;0.002129;0.000438;100
3;8;100;0.002116;0.000413;100
3;8;100;0.002195;0.000412;100
3;8;100;0.00207;0.000405;100
3;8;100;0.002258;0.000421;100
3;8;100;0.002298;0.000413;100
3;8;100;0.002514;0.000419;100
3;8;100;0.002165;0.000359;100
3;8;100;0.002122;0.000414;100
3;8;100;0.002531;0.000394;100
3;8;100;0.002421;0.000444;100
3;8;100;0.00213;0.000424;100
3;8;100;0.002314;0.000343;100
3;8;100;0.00211;0.000434;100
3;8;100;0.002112;0.000408;100
3;8;100;0.002435;0.000391;100
3;8;100;0.002381;0.000404;100
3;8;100;0.002195;0.000394;100
3;8;100;0.002107;0.000407;100
3;8;100;0.002397;0.000389;100
3;8;100;0.002228;0.000427;100
3;8;100;0.002108;0.000445;100
3;8;100;0.00209;0.000368;100
3;8;100;0.002123;0.000386;100
3;8;100;0.002073;0.000433;100
3;8;100;0.002136;0.00045;100
3;8;100;0.002492;0.000388;100
3;8;100;0.002333;0.000415;100
3;8;100;0.00207;0.00038;100
3;8;100;0.002391;0.000463;100
3;8;100;0.002425;0.000393;100
3;8;100;0.002293;0.000413;100
3;8;100;0.002217;0.000453;100
3;8;100;0.002068;0.000447;100
3;8;100;0.002193;0.000396;100
3;8;100;0.002384;0.000413;100
4;8;100;0.002285;0.000403;100
4;8;100;0.001715;0.000359;100
4;8;100;0.001651;0.000371;100
4;8;100;0.001556;0.000348;100
4;8;100;0.001534;0.000391;100
4;8;100;0.001611;0.000362;100
4;8;100;0.001987;0.000401;100
4;8;100;0.001589;0.000383;100
4;8;100;0.001732;0.000376;100
4;8;100;0.001706;0.000354;100
4;8;100;0.001529;0.000395;100
4;8;100;0.001705;0.000365;100
4;8;100;0.00178;0.000411;100
4;8;100;0.001537;0.000369;100
4;8;100;0.001642;0.000409;100
4;8;100;0.001659;0.000359;100
4;8;100;0.001976;0.000375;100
4;8;100;0.00177;0.000353;100
4;8;100;0.0015;0.000344;100
4;8;100;0.001734;0.000373;100
4;8;100;0.001429;0.000364;100
4;8;100;0.001723;0.000352;100
4;8;100;0.001676;0.000358;100
4;8;100;0.001674;0.000398;100
4;8;100;0.00169;0.000364;100
4;8;100;0.001813;0.000362;100
4;8;100;0.001687;0.000346;100
4;8;100;0.001661;0.000351;100
4;8;100;0.001733;0.000362;100
4;8;100;0.00156;0.000408;100
4;8;100;0.00157;0.00036;100
4;8;100;0.001824;0.000364;100
4;8;100;0.001763;0.000373;100
4;8;100;0.001599;0.000381;100
4;8;100;0.001714;0.000386;100
4;8;100;0.001666;0.000363;100
4;8;100;0.001785;0.000378;100
4;8;100;0.001583;0.000448;100
4;8;100;0.001559;0.000389;100
4;8;100;0.001595;0.000378;100
4;8;100;0.001602;0.000367;100
4;8;100;0.001646;0.000393;100
4;8;100;0.001588;0.000346;100
4;8;100;0.001747;0.000374;100
4;8;100;0.001819;0.000367;100
4;8;100;0.00166;0.000389;100
4;8;100;0.001725;0.000378;100
4;8;100;0.001732;0.000388;100
4;8;100;0.00182;0.000379;100
4;8;100;0.001692;0.000363;100
5;8;100;0.001286;0.000359;100
5;8;100;0.0012;0.000357;100
5;8;100;0.001315;0.00029;100
5;8;100;0.001158;0.000339;100
5;8;100;0.0015;0.000285;100
5;8;100;0.001128;0.000351;100
5;8;100;0.001454;0.000296;100
5;8;100;0.001218;0.000374;100
5;8;100;0.001263;0.00036;100
5;8;100;0.001306;0.000297;100
5;8;100;0.001148;0.000365;100
5;8;100;0.001175;0.000398;100
5;8;100;0.001179;0.000359;100
5;8;100;0.001224;0.000368;100
5;8;100;0.001257;0.000415;100
5;8;100;0.001351;0.000373;100
5;8;100;0.001179;0.000356;100
5;8;100;0.001157;0.000366;100
5;8;100;0.001121;0.000333;100
5;8;100;0.001214;0.000362;100
5;8;100;0.001263;0.000327;100
5;8;100;0.001215;0.000354;100
5;8;100;0.001242;0.000335;100
5;8;100;0.001219;0.000373;100
5;8;100;0.001219;0.000365;100
5;8;100;0.001337;0.000346;100
5;8;100;0.001208;0.000377;100
5;8;100;0.001113;0.000375;100
5;8;100;0.001236;0.000329;100
5;8;100;0.001151;0.00038;100
5;8;100;0.001352;0.000414;100
5;8;100;0.001411;0.000358;100
5;8;100;0.001145;0.000354;100
5;8;100;0.001134;0.00035;100
5;8;100;0.001229;0.000409;100
5;8;100;0.001286;0.000344;100
5;8;100;0.00138;0.000364;100
5;8;100;0.001218;0.000285;100
5;8;100;0.001293;0.000364;100
5;8;100;0.001211;0.000344;100
5;8;100;0.001224;0.000387;100
5;8;100;0.001309;0.000355;100
5;8;100;0.001213;0.000362;100
5;8;100;0.001175;0.000362;100
5;8;100;0.001255;0.00039;100
5;8;100;0.001268;0.000336;100
5;8;100;0.001161;0.000374;100
5;8;100;0.001229;0.00038;100
5;8;100;0.001292;0.000379;100
5;8;100;0.001197;0.000341;100
6;8;100;0.001495;0.000365;100
