Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.00094;0.000397;24
0;8;100;0.000901;0.000397;24
0;8;100;0.000815;0.000358;24
0;8;100;0.001068;0.000404;24
0;8;100;0.000971;0.000406;24
0;8;100;0.000954;0.000403;24
0;8;100;0.001033;0.000365;24
0;8;100;0.000785;0.000404;24
0;8;100;0.001071;0.000395;24
0;8;100;0.000839;0.000351;24
0;8;100;0.000817;0.000437;24
0;8;100;0.000904;0.000389;24
0;8;100;0.000783;0.000355;24
0;8;100;0.000895;0.000384;24
0;8;100;0.000802;0.000397;24
0;8;100;0.001072;0.000397;24
0;8;100;0.000868;0.00038;24
0;8;100;0.000787;0.000387;24
0;8;100;0.000915;0.000425;24
0;8;100;0.000959;0.000401;24
0;8;100;0.000933;0.000428;24
0;8;100;0.000871;0.000393;24
0;8;100;0.001122;0.000392;24
0;8;100;0.00093;0.000404;24
0;8;100;0.000964;0.000412;24
0;8;100;0.000936;0.000385;24
0;8;100;0.000735;0.000405;24
0;8;100;0.001067;0.000376;24
0;8;100;0.001031;0.000399;24
0;8;100;0.000899;0.000367;24
0;8;100;0.000906;0.000386;24
0;8;100;0.001084;0.000339;24
0;8;100;0.001049;0.0004;24
0;8;100;0.001071;0.000423;24
0;8;100;0.000731;0.000406;24
0;8;100;0.001005;0.000396;24
0;8;100;0.001059;0.000359;24
0;8;100;0.000986;0.000407;24
0;8;100;0.001175;0.000379;24
0;8;100;0.000845;0.000365;24
0;8;100;0.000858;0.000397;24
0;8;100;0.001015;0.000402;24
0;8;100;0.001029;0.000318;24
0;8;100;0.000831;0.000393;24
0;8;100;0.000891;0.000429;24
0;8;100;0.000975;0.000389;24
0;8;100;0.000991;0.000403;24
0;8;100;0.000875;0.000376;24
0;8;100;0.000865;0.000386;24
0;8;100;0.000847;0.000347;24
1;8;100;0.000919;0.108458;24
1;8;100;0.000677;0.109312;24
1;8;100;0.00095;0.103232;24
1;8;100;0.000855;0.052522;24
1;8;100;0.001125;0.073156;24
1;8;100;0.000686;0.031417;24
1;8;100;0.000945;0.078683;24
1;8;100;0.001003;0.082182;24
1;8;100;0.000653;0.054051;24
1;8;100;0.000844;0.071783;24
1;8;100;0.000781;0.11556;24
1;8;100;0.000812;0.06618;24
1;8;100;0.000906;0.077441;24
1;8;100;0.001058;0.145244;24
1;8;100;0.00088;0.060165;24
1;8;100;0.000742;0.096181;24
1;8;100;0.000954;0.075563;24
1;8;100;0.000906;0.089304;24
1;8;100;0.00086;0.091432;24
1;8;100;0.000777;0.062165;24
1;8;100;0.001003;0.085553;24
1;8;100;0.000752;0.066807;24
1;8;100;0.000815;0.066822;24
1;8;100;0.000966;0.068687;24
1;8;100;0.000956;0.113048;24
1;8;100;0.000934;0.073631;24
1;8;100;0.000832;0.080187;24
1;8;100;0.001011;0.10743;24
1;8;100;0.000871;0.074615;24
1;8;100;0.000748;0.082204;24
1;8;100;0.000788;0.09337;24
1;8;100;0.000873;0.103363;24
1;8;100;0.000897;0.103226;24
1;8;100;0.000696;0.073207;24
1;8;100;0.000869;0.093605;24
1;8;100;0.000797;0.103196;24
1;8;100;0.000793;0.073417;24
1;8;100;0.000793;0.093545;24
1;8;100;0.00084;0.090198;24
1;8;100;0.000805;0.108679;24
1;8;100;0.000991;0.091294;24
1;8;100;0.00072;0.068705;24
1;8;100;0.001106;0.092828;24
1;8;100;0.000826;0.072985;24
1;8;100;0.001001;0.113061;24
1;8;100;0.000923;0.113227;24
1;8;100;0.000961;0.103468;24
1;8;100;0.001245;0.130778;24
1;8;100;0.001052;0.084663;24
1;8;100;0.000859;0.093238;24
2;8;100;0.000693;0.099355;24
2;8;100;0.000706;0.088706;24
2;8;100;0.000739;0.122233;24
2;8;100;0.000687;0.118681;24
2;8;100;0.000748;0.073828;24
2;8;100;0.000758;0.11233;24
2;8;100;0.00074;0.097433;24
2;8;100;0.000846;0.128058;24
2;8;100;0.00074;0.108686;24
2;8;100;0.000809;0.112802;24
2;8;100;0.000805;0.095564;24
2;8;100;0.000714;0.128059;24
2;8;100;0.000654;0.123085;24
2;8;100;0.000896;0.108678;24
2;8;100;0.00085;0.103566;24
2;8;100;0.000804;0.093648;24
2;8;100;0.00087;0.11055;24
2;8;100;0.000746;0.078684;24
2;8;100;0.000753;0.10382;24
2;8;100;0.00067;0.11238;24
2;8;100;0.000607;0.108058;24
2;8;100;0.000578;0.122581;24
2;8;100;0.000617;0.088676;24
2;8;100;0.000734;0.103061;24
2;8;100;0.000874;0.093715;24
2;8;100;0.000816;0.08425;24
2;8;100;0.000861;0.121088;24
2;8;100;0.000762;0.078683;24
2;8;100;0.000741;0.083698;24
2;8;100;0.000657;0.092719;24
2;8;100;0.000577;0.080491;24
2;8;100;0.000672;0.095561;24
2;8;100;0.000671;0.108674;24
2;8;100;0.000635;0.0536;24
2;8;100;0.000744;0.091073;24
2;8;100;0.000638;0.098685;24
2;8;100;0.000903;0.131688;24
2;8;100;0.000822;0.12618;24
2;8;100;0.000719;0.165551;24
2;8;100;0.000682;0.126816;24
2;8;100;0.000714;0.096808;24
2;8;100;0.00078;0.108685;24
2;8;100;0.000578;0.084293;24
2;8;100;0.000766;0.104009;24
2;8;100;0.000712;0.104018;24
2;8;100;0.000709;0.113433;24
2;8;100;0.000537;0.088058;24
2;8;100;0.000568;0.118064;24
2;8;100;0.00077;0.083352;24
2;8;100;0.00081;0.115558;24
3;8;100;0.000491;0.11916;24
3;8;100;0.000711;0.119724;24
3;8;100;0.000549;0.136185;24
3;8;100;0.00061;0.117432;24
3;8;100;0.000655;0.117432;24
3;8;100;0.000677;0.126181;24
3;8;100;0.000586;0.117433;24
3;8;100;0.000603;0.107432;24
3;8;100;0.000677;0.131539;24
3;8;100;0.000528;0.117428;24
3;8;100;0.000762;0.156178;24
3;8;100;0.000464;0.137127;24
3;8;100;0.000474;0.127428;24
3;8;100;0.000602;0.127436;24
3;8;100;0.000617;0.107434;24
3;8;100;0.000663;0.091803;24
3;8;100;0.000588;0.111512;24
3;8;100;0.000568;0.123771;24
3;8;100;0.00068;0.121978;24
3;8;100;0.000611;0.108058;24
3;8;100;0.000603;0.116186;24
3;8;100;0.000477;0.106809;24
3;8;100;0.000623;0.075562;24
3;8;100;0.000629;0.118055;24
3;8;100;0.000612;0.117424;24
3;8;100;0.000657;0.127432;24
3;8;100;0.000765;0.097435;24
3;8;100;0.000579;0.127429;24
3;8;100;0.000617;0.138054;24
3;8;100;0.00054;0.096811;24
3;8;100;0.000545;0.105563;24
3;8;100;0.000649;0.116808;24
3;8;100;0.000568;0.115563;24
3;8;100;0.000497;0.116814;24
3;8;100;0.000493;0.098058;24
3;8;100;0.000565;0.093327;24
3;8;100;0.00056;0.107433;24
3;8;100;0.000702;0.107435;24
3;8;100;0.000624;0.106187;24
3;8;100;0.000638;0.108057;24
3;8;100;0.000503;0.126804;24
3;8;100;0.000571;0.108681;24
3;8;100;0.000667;0.103438;24
3;8;100;0.000756;0.127435;24
3;8;100;0.000499;0.096804;24
3;8;100;0.000601;0.118052;24
3;8;100;0.000613;0.111095;24
3;8;100;0.000713;0.167433;24
3;8;100;0.00059;0.116183;24
3;8;100;0.000502;0.097433;24
4;8;100;0.000399;0.09983;24
4;8;100;0.000402;0.12619;24
