Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.000423;0.000394;8
8;100;0.00048;0.00042;8
8;100;0.0004;0.000329;8
8;100;0.000392;0.000396;8
8;100;0.000407;0.00035;8
8;100;0.000362;0.0004;8
8;100;0.000332;0.000445;8
8;100;0.000392;0.000443;8
8;100;0.000373;0.000417;8
8;100;0.00045;0.000386;8
8;100;0.00041;0.000351;8
8;100;0.0004;0.000378;8
8;100;0.000406;0.000398;8
8;100;0.000423;0.000388;8
8;100;0.000354;0.000379;8
8;100;0.000462;0.000377;8
8;100;0.000398;0.000388;8
8;100;0.000411;0.000389;8
8;100;0.000393;0.00038;8
8;100;0.000404;0.000364;8
8;100;0.000409;0.000372;8
8;100;0.000457;0.000374;8
8;100;0.000447;0.000383;8
8;100;0.000363;0.000322;8
8;100;0.000349;0.000395;8
8;100;0.000447;0.000395;8
8;100;0.000393;0.000371;8
8;100;0.000435;0.000385;8
8;100;0.000413;0.000385;8
8;100;0.000412;0.00041;8
8;100;0.000464;0.000387;8
8;100;0.000386;0.000411;8
8;100;0.000369;0.000363;8
8;100;0.000408;0.000385;8
8;100;0.000369;0.000409;8
8;100;0.000381;0.000415;8
8;100;0.000424;0.000388;8
8;100;0.000385;0.000391;8
8;100;0.00041;0.000411;8
8;100;0.000414;0.000392;8
8;100;0.000433;0.000398;8
8;100;0.000427;0.000377;8
8;100;0.000344;0.000391;8
8;100;0.000426;0.000384;8
8;100;0.000466;0.000362;8
8;100;0.000386;0.000376;8
8;100;0.000391;0.0004;8
8;100;0.000394;0.000382;8
8;100;0.000402;0.000389;8
8;100;0.000438;0.000365;8
8;1000;0.000436;0.00045;8
8;1000;0.000378;0.000417;8
8;1000;0.000375;0.000449;8
8;1000;0.000395;0.000451;8
8;1000;0.000345;0.000476;8
8;1000;0.000416;0.000458;8
8;1000;0.000406;0.000409;8
8;1000;0.000383;0.000477;8
8;1000;0.000439;0.000388;8
8;1000;0.000391;0.000395;8
8;1000;0.000383;0.000416;8
8;1000;0.000402;0.000405;8
8;1000;0.000365;0.000478;8
8;1000;0.000386;0.000366;8
8;1000;0.000444;0.000391;8
8;1000;0.000446;0.000368;8
8;1000;0.000365;0.000361;8
8;1000;0.000375;0.000418;8
8;1000;0.000405;0.000437;8
8;1000;0.000356;0.000429;8
8;1000;0.000425;0.00037;8
