Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.014093;3163657;0.021271;4605444;0.092355;20785227;48
8;100;0.017962;4014689;0.001574;4482184;0.074353;16744013;48
8;100;0.001666;3527611;0.001864;4548751;0.125442;23246351;48
8;100;0.015645;3513083;0.001807;4580105;0.10504;20899627;48
8;100;0.016529;3718575;0.001988;2456260;0.084993;16903865;48
8;100;0.001771;3360331;0.001839;3981379;0.093928;17722884;48
8;100;0.001809;3760705;0.001945;2548283;0.083309;18749214;48
8;100;0.001514;3832597;0.002012;2526375;0.112162;22497319;48
8;100;0.001718;4086304;0.011602;2553515;0.104073;20716601;48
8;100;0.017138;3858612;0.00177;4522102;0.11511;22449206;48
8;1000;0.012306;2767408;0.001951;4508292;0.155542;31972407;48
8;1000;0.015886;3586439;0.001853;4512630;0.103109;20070894;48
8;1000;0.002141;4012189;0.012107;2642629;0.121643;24609092;48
8;1000;0.001745;3894159;0.021317;4662368;0.083598;18837002;48
8;1000;0.016615;3749245;0.002087;4484158;0.102972;21523001;48
8;1000;0.001951;4020117;0.001753;4612436;0.102905;23095668;48
8;1000;0.018462;4195217;0.001829;4455326;0.103706;20573793;48
8;1000;0.001803;3740535;0.021499;4730364;0.112401;25167207;48
8;1000;0.018049;4063999;0.001808;4501770;0.083679;18821582;48
8;1000;0.017446;3943395;0.011905;4361618;0.143058;32018337;48
8;10000;0.001882;2796387;0.001839;4573918;0.104866;23527850;48
8;10000;0.016961;3813805;0.001755;4330297;0.122306;27363226;48
8;10000;0.001861;4063020;0.001871;4575500;0.145501;29923552;48
8;10000;0.001793;3441729;0.01211;2568650;0.122315;24599421;48
8;10000;0.002114;3777510;0.01209;4500818;0.104216;23391716;48
8;10000;0.017038;3821150;0.021286;4664517;0.102527;23017787;48
8;10000;0.018115;4128021;0.020458;4484753;0.112097;25140405;48
8;10000;0.001807;3796816;0.012155;2615897;0.114015;25534397;48
8;10000;0.016246;3676584;0.020638;4557447;0.121694;27240238;48
8;10000;0.001813;4069495;0.001706;4540382;0.123668;25050814;48
8;100000;0.004014;3957403;0.022447;4624373;0.120617;27084626;48
8;100000;0.018503;4170397;0.019954;4046020;0.079904;17589215;48
8;100000;0.019667;4505940;0.003611;3411365;0.073957;15583385;48
8;100000;0.016751;3697194;0.020156;4116315;0.101684;22845570;48
8;100000;0.017237;3899540;0.020224;4098164;0.120249;26547877;48
8;100000;0.018612;4262245;0.003909;3764009;0.102124;20445750;48
8;100000;0.018827;4233495;0.02004;4061491;0.090734;19977735;48
8;100000;0.003821;3622102;0.003855;4546818;0.111733;23539941;48
8;100000;0.003777;3852147;0.022488;4641081;0.091206;20503535;48
8;100000;0.018631;4199183;0.003762;3885474;0.101701;22816992;48
8;1000000;0.039956;8735390;0.024956;4489425;0.159427;35769260;48
8;1000000;0.045723;9438057;0.052855;11491938;0.136295;28255264;48
8;1000000;0.036798;8124985;0.051832;11403881;0.109428;24198929;48
8;1000000;0.046562;10260499;0.051681;11003885;0.125862;25571000;48
8;1000000;0.037392;8233433;0.039629;9945390;0.165109;34443237;48
8;1000000;0.026312;5794100;0.025323;5036279;0.14273;31607742;48
8;1000000;0.045994;10111660;0.050924;11199573;0.126773;27224127;48
8;1000000;0.046764;10324422;0.051582;11063416;0.127693;28763940;48
8;1000000;0.046062;10156872;0.039386;9610349;0.158617;32812085;48
8;1000000;0.027536;6025954;0.028117;8186638;0.121716;27467652;48
8;10000000;0.289963;60718193;0.313502;38656933;0.42178;90462323;48
8;10000000;0.273486;149268917;0.323023;43107370;0.432593;97289893;48
8;10000000;0.286917;60204216;0.280732;36404473;0.453904;97600898;48
8;10000000;0.287319;60132418;0.313164;40227332;0.40907;88763204;48
8;10000000;0.285768;59928909;0.316648;40018260;0.448076;97385894;48
8;10000000;0.272961;57432719;0.278819;34007514;0.414871;91088226;48
8;10000000;0.290999;61130676;0.32262;43813326;0.414892;91188607;48
8;10000000;0.288137;60542943;0.265527;34138470;0.438632;98599670;48
8;10000000;0.286057;59799412;0.305799;39043665;0.41758;91662785;48
8;10000000;0.284856;59739030;0.339291;42231535;0.425798;95663251;48
8;100000000;3.03815;673499673;3.03199;400592715;3.15612;617565771;48
8;100000000;2.9884;617328804;3.00772;348813546;3.19851;620779387;48
8;100000000;3.01646;615696240;3.00578;371016929;3.20239;618104293;48
8;100000000;3.01394;615852106;3.00542;348167766;3.37893;666101785;48
8;100000000;2.97353;614876963;3.03272;351598793;3.19451;560354467;48
8;100000000;3.11739;644929093;2.98072;427478955;3.35633;944038264;48
8;100000000;3.00711;621812655;2.99318;346164742;3.27276;673739564;48
8;100000000;2.99791;619518412;3.02767;349659051;3.17999;610130900;48
8;100000000;2.95358;610642674;3.02557;349337913;3.16708;603922733;48
8;100000000;3.04758;630203843;3.02339;645403309;3.4068;659620110;48
